index,avg,max,min,combined_date
0,"1,878","2,500","1,380",2019-08-01 00:00:00
1,"1,879","2,500","1,380",2019-08-02 00:00:00
2,"1,869","2,500","1,380",2019-08-05 00:00:00
3,"1,883","2,500","1,380",2019-08-06 00:00:00
4,"1,881","2,500","1,180",2019-08-07 00:00:00
5,"1,876","2,500","1,120",2019-08-08 00:00:00
6,"1,878","2,500","1,120",2019-08-09 00:00:00
7,"1,881","2,500","1,120",2019-08-12 00:00:00
8,"1,881","2,500","1,120",2019-08-13 00:00:00
9,"1,866","2,500","1,120",2019-08-14 00:00:00
10,"1,889","2,680","1,380",2019-08-16 00:00:00
11,"1,888","2,680","1,380",2019-08-19 00:00:00
12,"1,891","2,680","1,380",2019-08-20 00:00:00
13,"1,893","2,680","1,480",2019-08-21 00:00:00
14,"1,918","2,580","1,480",2019-08-22 00:00:00
15,"1,900","2,580","1,200",2019-08-23 00:00:00
16,"1,909","2,580","1,480",2019-08-26 00:00:00
17,"1,908","2,580","1,480",2019-08-27 00:00:00
18,"1,919","2,580","1,550",2019-08-28 00:00:00
19,"1,911","2,780","1,550",2019-08-29 00:00:00
20,"1,925","2,780","1,550",2019-08-30 00:00:00
21,"1,944","2,780","1,650",2019-09-02 00:00:00
22,"1,937","2,780","1,650",2019-09-03 00:00:00
23,"1,936","2,780","1,650",2019-09-04 00:00:00
24,"2,006","2,980","1,780",2019-09-05 00:00:00
25,"2,006","2,980","1,300",2019-09-06 00:00:00
26,"2,027","2,980","1,780",2019-09-09 00:00:00
27,"2,024","2,980","1,780",2019-09-10 00:00:00
28,"2,028","2,980","1,780",2019-09-11 00:00:00
29,"2,013","2,980","1,680",2019-09-16 00:00:00
30,"2,029","2,980","1,680",2019-09-17 00:00:00
31,"2,044","2,980","1,680",2019-09-18 00:00:00
32,"2,103","2,980","1,680",2019-09-19 00:00:00
33,"2,092","2,980","1,680",2019-09-20 00:00:00
34,"2,109","2,980","1,680",2019-09-23 00:00:00
35,"2,123","2,980","1,680",2019-09-24 00:00:00
36,"2,129","2,980","1,680",2019-09-25 00:00:00
37,"2,157","2,980","1,680",2019-09-26 00:00:00
38,"2,164","2,980","1,680",2019-09-27 00:00:00
39,"2,186","3,280","1,880",2019-09-30 00:00:00
40,"2,177","3,280","1,880",2019-10-01 00:00:00
41,"2,185","3,280","1,980",2019-10-02 00:00:00
42,"2,150","3,180","1,780",2019-10-04 00:00:00
43,"2,156","3,180","1,880",2019-10-07 00:00:00
44,"2,133","3,180","1,760",2019-10-08 00:00:00
45,"2,005","2,700","1,680",2019-10-10 00:00:00
46,"1,930","2,600","1,680",2019-10-11 00:00:00
47,"1,917","2,600","1,650",2019-10-14 00:00:00
48,"1,886","2,500","1,650",2019-10-15 00:00:00
49,"1,867","2,500","1,180",2019-10-16 00:00:00
50,"1,781","2,500","1,180",2019-10-17 00:00:00
51,"1,769","2,500","1,180",2019-10-18 00:00:00
52,"1,793","2,500","1,280",2019-10-21 00:00:00
53,"1,784","2,500","1,280",2019-10-22 00:00:00
54,"1,764","2,430","1,280",2019-10-23 00:00:00
55,"1,772","2,480","1,280",2019-10-24 00:00:00
56,"1,771","2,480","1,280",2019-10-25 00:00:00
57,"1,772","2,480","1,450",2019-10-28 00:00:00
58,"1,769","2,480","1,480",2019-10-29 00:00:00
59,"1,753","2,480","1,380",2019-10-30 00:00:00
60,"1,535","2,430",990,2019-10-31 00:00:00
61,"1,524","2,430",990,2019-11-01 00:00:00
62,"1,519","2,430",990,2019-11-04 00:00:00
63,"1,506","2,430",990,2019-11-05 00:00:00
64,"1,502","2,430",990,2019-11-06 00:00:00
65,"1,654","2,430","1,280",2019-11-07 00:00:00
66,"1,658","2,430","1,280",2019-11-08 00:00:00
